country,region,country_code,year,lifeExp,gdpPercap,pop
Afghanistan,Asia,AFG,1952,33,1070,7930000
Albania,Europe,ALB,1952,55.2,2010,1320000
Algeria,Africa,DZA,1952,47.6,4100,9220000
Andorra,Europe,AND,1952,NA,8160,7250
Angola,Africa,AGO,1952,37.5,3340,4770000
Antigua and Barbuda,Americas,ATG,1952,59,3640,50000
Argentina,Americas,ARG,1952,61.5,7800,17900000
Armenia,Europe,ARM,1952,59.2,1920,1420000
Australia,Asia,AUS,1952,69.4,12100,8620000
Austria,Europe,AUT,1952,66.8,7410,6930000
Azerbaijan,Europe,AZE,1952,55,3760,3060000
